year,state_population,murder,robbery,agg_assault,burglary,larceny,vehicle_theft,rape,murder_cutting,murder_firearms,murder_other,murder_unarmed,mass_shootings,hate_crime_murder,hate_crime_other,state,total
2001,284743737,15806,419777,904020,2111582,7069954,1220421,90682,1796,8719,2313,924,2,10,9710,National,11841964
2002,287404767,15965,416972,886445,2146082,7035671,1237047,94973,1767,9369,1989,929,2,12,7547,National,11840716
2003,290231356,16279,410294,854433,2150163,7008683,1251320,93609,1816,9638,2010,944,3,13,7500,National,11792297
2004,293102603,15950,398268,843413,2140500,6922547,1229443,94867,1866,9326,1996,933,2,6,7630,National,11652626
2005,295925012,16545,413738,858249,2151871,6768611,1228139,94181,1914,10100,1954,892,3,6,7364,National,11538707
2006,298816954,17140,445417,869507,2191158,6610455,1190924,94287,1822,10177,2158,833,7,3,7659,National,11426557
2007,301032865,16947,443059,862671,2186272,6574152,1092866,91968,1796,10086,2095,854,10,9,7578,National,11275532
2008,303467891,16279,439133,839976,2225099,6566248,952594,90564,1897,9484,1938,861,6,8,7989,National,11137896
2009,306406893,15254,404338,809124,2199617,6318828,790120,89091,1808,9033,1855,796,8,7,6569,National,10632956
2010,308725307,14590,364764,778462,2164226,6185087,734510,85406,1680,8635,1760,740,2,6,6569,National,10333622
2011,310968796,14553,350678,749365,2181290,6129748,712051,84002,1675,8524,1650,728,6,5,6211,National,10227909
2012,313240258,14778,351014,758504,2106413,6145299,719523,84905,1591,8879,1643,680,15,5,6517,National,10186973
2013,315848420,14216,341013,722740,1928519,5994085,697060,81812,1482,8412,1621,681,15,5,5967,National,9785432
2014,318198163,14144,322305,737166,1726340,5831598,685744,83689,1557,8105,1599,657,14,5,5525,National,9406530
2015,320742057,15548,322873,760969,1577595,5685083,704241,90529,1526,9553,1666,622,67,8,5808,National,9162721
2016,322721599,17277,329297,798915,1514044,5617746,764363,131881,1597,10932,1802,656,142,5,6156,National,9179826
2001,4468912,379,5584,12250,40642,119992,12619,1369,,,,,0,0,2,Alabama,192837
2001,633630,39,514,2681,3847,16695,2618,501,,,,,0,0,20,Alaska,26915
2001,5306966,400,8868,17889,54821,186850,52203,1518,,,,,0,1,385,Arizona,322935
2001,2694698,148,2181,8969,22196,69590,7320,892,,,,,0,0,3,Arkansas,111299
2001,34600463,2206,64614,136087,232273,697739,204177,9960,,,,,1,2,2244,California,1349303
2001,4430989,158,3555,9849,28533,121360,20994,1930,,,,,0,1,125,Colorado,186505
2001,3434602,105,4183,6565,17159,65762,12378,639,,,,,0,0,171,Connecticut,106962
2001,796599,23,1156,3269,5144,19476,2779,420,,,,,0,0,17,Delaware,32284
2001,16373330,874,32867,90331,176052,516548,89917,6641,,,,,0,1,301,Florida,913532
2001,8405677,598,14402,24491,71799,238484,37589,2180,,,,,0,0,39,Georgia,389582
2001,1227024,32,1142,1534,11162,44925,6743,409,,,,,0,,,Hawaii,65947
2001,1320585,30,245,2511,7507,28285,2389,425,,,,,0,0,34,Idaho,41426
2001,12520227,982,24931,49347,79158,306757,48733,4010,,,,,1,0,282,Illinois,514201
2001,6126743,413,7171,13434,42758,147291,21499,1716,,,,,0,0,139,Indiana,234421
2001,2931967,50,1154,6012,16885,66244,5505,649,,,,,0,0,32,Iowa,96531
2001,2702125,92,2423,7449,20514,77038,7985,945,,,,,0,0,82,Kansas,116528
2001,4068816,181,3269,6009,26964,71448,8944,1051,,,,,0,0,83,Kentucky,117949
2001,4470368,501,7864,20910,46451,139555,21687,1403,,,,,0,0,10,Louisiana,238381
2001,1284470,19,264,826,6898,24585,1671,326,,,,,0,0,32,Maine,34621
2001,5386079,446,13525,26668,41553,145934,32025,1449,,,,,0,0,240,Maryland,261840
2001,6401164,143,6476,22110,32430,106821,27828,1856,,,,,0,0,591,Massachusetts,198255
2001,10006266,672,12937,36551,72038,226708,53607,5264,,,,,0,0,442,Michigan,408219
2001,4984535,119,3758,7032,25496,124519,15031,2236,,,,,0,0,208,Minnesota,178399
2001,2859733,282,3294,5283,29821,70315,9473,1147,,,,,0,0,3,Mississippi,119618
2001,5637309,372,7771,20946,42977,167420,28014,1383,,,,,0,0,91,Missouri,268974
2001,905382,34,230,2735,3670,24684,1821,188,,,,,0,0,13,Montana,33375
2001,1720039,43,1128,3612,9760,52713,6490,431,,,,,0,0,54,Nebraska,74231
2001,2097722,180,4932,6364,17711,45073,14702,883,,,,,0,0,94,Nevada,89939
2001,1259359,17,445,1224,4889,20060,2140,458,,,,,0,1,26,New Hampshire,29260
2001,8511116,336,14110,17370,46812,156031,37708,1278,,,,,0,0,767,New Jersey,274412
2001,1830935,99,2695,10644,19552,56406,7137,850,,,,,0,1,19,New Mexico,97403
2001,19084350,960,36555,56961,80400,329316,48287,3546,,,,,0,0,712,New York,556737
2001,8206105,505,13304,24573,101889,237241,24647,2083,,,,,0,1,83,North Carolina,404326
2001,636550,7,60,274,2165,11583,1086,164,,,,,0,0,16,North Dakota,15355
2001,11389785,452,17199,17906,96910,295976,42229,4466,,,,,0,0,363,Ohio,475501
2001,3469577,185,2746,13309,34573,94537,12569,1486,,,,,0,0,46,Oklahoma,159451
2001,3473441,84,2749,6643,26648,123034,14842,1174,,,,,0,0,222,Oregon,175396
2001,12303104,651,17500,28814,54345,223350,35713,3467,,,,,0,0,141,Pennsylvania,363981
2001,1059659,39,986,1837,6824,23875,5043,416,,,,,0,0,63,Rhode Island,39083
2001,4062125,330,5987,25028,42611,126742,16701,1769,,,,,0,0,57,South Carolina,219225
2001,758324,7,103,710,3087,12571,815,351,,,,,0,0,5,South Dakota,17649
2001,5749398,423,10219,29938,59705,165015,28272,2196,,,,,0,1,189,Tennessee,295958
2001,21370983,1332,35348,77306,204362,669625,102667,8169,,,,,0,1,435,Texas,1099245
2001,2278712,67,1197,3154,13804,70676,6513,896,,,,,0,0,66,Utah,96373
2001,612978,7,107,423,3150,12426,758,107,,,,,0,0,17,Vermont,16995
